File,Line,Pattern,Match,Context
DialogEntityDetail.java,80,R_drawable_variable,R.drawable.object_border_ascended,this.binding.swapEquipment.setBackgroundResource(R.drawable.object_border_ascended);
DialogEntityDetail.java,101,R_drawable_variable,R.drawable.object_border_dim_white,layoutItemBindingInflate.getRoot().setBackgroundResource(R.drawable.object_border_dim_white);
DialogEntityDetail.java,102,getDrawable,getDrawable(getResources(),"layoutItemBindingInflate.image.setImageDrawable(ResourcesCompat.getDrawable(getResources(), MainActivity.data.getSeenItems().contains(trueClass) ? ite"
DialogEntityDetail.java,102,R_drawable_variable,R.drawable.unknown,"layoutItemBindingInflate.image.setImageDrawable(ResourcesCompat.getDrawable(getResources(), MainActivity.data.getSeenItems().contains(trueClass) ? ite"
DialogEntityDetail.java,703,getDrawable,getDrawable(getResources(),"this.binding.detailImage.setImageDrawable(ResourcesCompat.getDrawable(getResources(), this.entity.getImageId(), getContext().getTheme()));"
DialogEntityDetail.java,735,getDrawable,getDrawable(getResources(),"this.binding.doctrine.setImageDrawable(ResourcesCompat.getDrawable(getResources(), adventurer.getDoctrine().getIdImage(), getContext().getTheme()));"
DialogEntityDetail.java,817,R_drawable_variable,R.drawable.object_border_dim_white_extra_opaque,view.setBackgroundResource(z ? R.drawable.object_border_dim_white_extra_opaque : R.drawable.object_border_dim_white);
DialogEntityDetail.java,817,R_drawable_variable,R.drawable.object_border_dim_white,view.setBackgroundResource(z ? R.drawable.object_border_dim_white_extra_opaque : R.drawable.object_border_dim_white);
DialogEntityDetail.java,819,R_drawable_variable,R.drawable.object_border_ascended_extra_opaque,view.setBackgroundResource(z ? z2 ? R.drawable.object_border_ascended_extra_opaque : R.drawable.object_border_dim_white_extra_opaque : z2 ? R.drawable
DialogEntityDetail.java,819,R_drawable_variable,R.drawable.object_border_dim_white_extra_opaque,view.setBackgroundResource(z ? z2 ? R.drawable.object_border_ascended_extra_opaque : R.drawable.object_border_dim_white_extra_opaque : z2 ? R.drawable
DialogEntityDetail.java,819,R_drawable_variable,R.drawable.object_border_ascended,view.setBackgroundResource(z ? z2 ? R.drawable.object_border_ascended_extra_opaque : R.drawable.object_border_dim_white_extra_opaque : z2 ? R.drawable
